property_id, seating_type, industry_anzsic4_code, location_zip, clue_small_area, trading_name, x_coordinate, location_address, location_city, location_state, number_of_seats, ogc_fid, industry_anzsic4_description, y_coordinate, census_year, street_address, base_property_id, block_id
"103415","Seats - Outdoor","4511",null,"North Melbourne","Errol's Pantry Bakehouse","144.9490835",null,null,null,"30",26675,"Cafes and Restaurants","-37.80345572","2010","69-71 Errol Street","103415","345"
"105301","Seats - Indoor","4512",null,"Melbourne (CBD)","Subway","144.9552322",null,null,null,"16",26703,"Takeaway Food Services","-37.81602499","2010","175-177 King Street","105301","51"
"106103","Seats - Indoor","4511",null,"Carlton","Tica-Tera's Pizza Restaurant","144.9664763",null,null,null,"60",26705,"Cafes and Restaurants","-37.80160598","2010","173 Lygon Street","106103","246"
"102063","Seats - Outdoor","4520",null,"Melbourne (CBD)","Fedoullas Cuccina","144.9726281",null,null,null,"160",26708,"Pubs, Taverns and Bars","-37.81430616","2010","45 Collins Street","102060","28"
"105961","Seats - Outdoor","4511",null,"Melbourne (CBD)","Cafe Insieme","144.9643486",null,null,null,"14",26733,"Cafes and Restaurants","-37.81473293","2010","304-306 Little Collins Street","105961","45"
"108456","Seats - Indoor","4520",null,"Parkville","Naughtons Hotel","144.9575345",null,null,null,"118",26739,"Pubs, Taverns and Bars","-37.79554181","2010","43-49 Royal Parade","108456","915"
"105853","Seats - Indoor","4511",null,"Melbourne (CBD)","Vine Cafe Bar & Larder ","144.959659",null,null,null,"60",26774,"Cafes and Restaurants","-37.81430686","2010","441-443 Little Bourke Street","105853","53"
"103312","Seats - Outdoor","4512",null,"Melbourne (CBD)","Curry Bowl","144.9628783",null,null,null,"8",26785,"Takeaway Food Services","-37.81261442","2010","222-260 Elizabeth Street","103312","65"
"103929","Seats - Indoor","4511",null,"Melbourne (CBD)","Yu-U Japanese Restaurant","144.9700425",null,null,null,"28",26802,"Cafes and Restaurants","-37.8157316","2010","137-139 Flinders Lane","103929","17"
"102111","Seats - Outdoor","4511",null,"Melbourne (CBD)","Lido Cafe","144.9545688",null,null,null,"12",26805,"Cafes and Restaurants","-37.81861166","2010","608-610 Collins Street","102111","31"
"560004","Seats - Outdoor","4511",null,"Docklands","Man Mo","144.942139",null,null,null,"44",26814,"Cafes and Restaurants","-37.81434525","2010","24-42 Newquay Promenade","560004","1109"
"111175","Seats - Indoor","4511",null,"Southbank","Automatic Cafe","144.9586604",null,null,null,"130",26833,"Cafes and Restaurants","-37.82312164","2010","8 Whiteman Street","110477","803"
"105849","Seats - Indoor","4511",null,"Melbourne (CBD)","Ume Sushi House","144.961463",null,null,null,"36",26862,"Cafes and Restaurants","-37.81377588","2010","383-385 Little Bourke Street","105849","54"
"106087","Seats - Indoor","4511",null,"Carlton","Mercadante Pizza","144.9660342",null,null,null,"45",26873,"Cafes and Restaurants","-37.80408996","2010","123-125 Lygon Street","106087","254"
"103165","Seats - Indoor","4512",null,"Melbourne (CBD)","Subway","144.964608",null,null,null,"14",26875,"Takeaway Food Services","-37.81805666","2010","1-5 Elizabeth Street","103165","14"
"105953","Seats - Indoor","4511",null,"Melbourne (CBD)","Bistro Vue","144.9601101",null,null,null,"85",26915,"Cafes and Restaurants","-37.81596878","2010","430-436 Little Collins Street","105953","43"
"105393","Seats - Indoor","4511",null,"Melbourne (CBD)","Hare & Grace","144.9570349",null,null,null,"200",26916,"Cafes and Restaurants","-37.81863721","2010","68-70 King Street","105393","22"
"560266","Seats - Indoor","4511",null,"Docklands","Yarras Edge Bar & Cafe ","144.946356",null,null,null,"60",26927,"Cafes and Restaurants","-37.82488026","2010","58-70 Lorimer Street","560266","773"
